,Title,Rating,Year,Director,Date of release,Duration,Genre,Type,Platform
0,it's a wonderful life,8.6,1946,Frank Capra,1946,131 min,"Drama, Fantasy",Movie,Amazon Prime
1,joker,8.3,2019,Todd Phillips,2016,129 min,"Comedy, Drama, International",Movie,Amazon Prime
2,the boat,8.3,1981,Wolfgang Petersen,2019,89 min,"Horror, Suspense",Movie,Amazon Prime
3,the hunt,8.3,2012,Thomas Vinterberg,2020,92 min,Horror,Movie,Amazon Prime
4,m,8.3,1931,Fritz Lang,2019,107 min,Music Videos and Concerts,Movie,Amazon Prime
5,die hard,8.2,1988,John McTiernan,1988,132 min,Suspense,Movie,Amazon Prime
6,the father,8.2,2020,Florian Zeller,2015,1 Season,Drama,Movie,Amazon Prime
7,the elephant man,8.1,1980,David Lynch,1980,123 min,"Drama, Suspense",Movie,Amazon Prime
8,inside out,8.1,2015,Pete Docter,2005,95 min,Suspense,Movie,Amazon Prime
9,catch me if you can,8.1,2002,Steven Spielberg,2002,141 min,Suspense,Movie,Amazon Prime
10,stand by me,8.0,1986,Rob Reiner,2021,1 Season,"Drama, Romance",Movie,Amazon Prime
11,the exorcist,8.0,1973,William Friedkin,2017,2 Seasons,TV Shows,Movie,Amazon Prime
12,the handmaiden,8.0,2016,Park Chan-wook,2016,145 min,"International, LGBTQ, Suspense",Movie,Amazon Prime
13,beauty and the beast,8.0,1991,Gary Trousdale,2010,90 min,"Drama, Romance, Science Fiction",Movie,Amazon Prime
0,avatar: the last airbender,9.2,2005,"Dee Bradley Baker, Zach Tyler Eisen",2008,3 Seasons,Kids,Tv Show,Amazon Prime
1,cosmos,9.2,1980,"Carl Sagan, JaromÃ­r HanzlÃ­k",2019,129 min,"Action, Science Fiction",Tv Show,Amazon Prime
2,firefly,8.9,2002,"Nathan Fillion, Gina Torres",2005,99 min,"Drama, Suspense",Tv Show,Amazon Prime
3,the office,8.9,2005,"Steve Carell, Jenna Fischer",2003,2 Seasons,Comedy,Tv Show,Amazon Prime
4,the office,8.5,2001,"Ricky Gervais, Martin Freeman",2003,2 Seasons,Comedy,Tv Show,Amazon Prime
5,clarkson's farm,8.9,2021,"Jeremy Clarkson, Kaleb Cooper",2021,1 Season,"Documentary, Unscripted",Tv Show,Amazon Prime
6,dark,8.7,2017,"Louis Hofmann, Karoline Eichhorn",2018,122 min,"Action, Suspense",Tv Show,Amazon Prime
7,the boys,8.7,2019,"Karl Urban, Jack Quaid",2020,2 Seasons,Action,Tv Show,Amazon Prime
8,fleabag,8.6,2016,"Phoebe Waller-Bridge, Sian Clifford",2019,2 Seasons,Comedy,Tv Show,Amazon Prime
9,downton abbey,8.6,2010,"Hugh Bonneville, Phyllis Logan",2016,6 Seasons,"Drama, Historical",Tv Show,Amazon Prime
10,invincible,8.6,2021,"Steven Yeun, J.K. Simmons",2021,1 Season,"Action, Animation",Tv Show,Amazon Prime
11,vinland saga,8.6,2019,"Kira Buckland, J. Michael Tatum",2019,1 Season,Anime,Tv Show,Amazon Prime
12,the marvelous mrs. maisel,8.6,2017,"Rachel Brosnahan, Alex Borstein",2019,3 Seasons,"Comedy, Drama",Tv Show,Amazon Prime
13,star trek: the next generation,8.6,1987,"Patrick Stewart, Brent Spiner",1994,7 Seasons,"Drama, Science Fiction, Special Interest",Tv Show,Amazon Prime
14,panchayat,8.6,2020,"Jitendra Kumar, Raghuvir Yadav",2020,1 Season,TV Shows,Tv Show,Amazon Prime
15,the grand tour,8.6,2016,"Jeremy Clarkson, James May",2020,4 Seasons,"Comedy, Documentary, Sports",Tv Show,Amazon Prime
16,line of duty,8.6,2012,"Martin Compston, Vicky McClure",2019,99 min,"Action, Adventure",Tv Show,Amazon Prime
17,dexter,8.6,2006,"Michael C. Hall, Jennifer Carpenter",2013,8 Seasons,"Drama, Suspense",Tv Show,Amazon Prime
18,this is us,8.6,2016,"Milo Ventimiglia, Mandy Moore",2020,4 Seasons,TV Shows,Tv Show,Amazon Prime
19,the bridge,8.6,2011,"Sofia Helin, Rafael Pettersson",2014,2 Seasons,"Drama, Suspense",Tv Show,Amazon Prime
20,daredevil,8.6,2015,"Charlie Cox, Vincent D'Onofrio",2003,104 min,Action,Tv Show,Amazon Prime
21,monster,8.5,2004,"Hidenobu Kiuchi, Liam O'Brien",2019,138 min,"Comedy, Drama",Tv Show,Amazon Prime
22,mr. bean,8.5,1990,"Rowan Atkinson, Robin Driscoll",1995,1 Season,"Comedy, Kids",Tv Show,Amazon Prime
23,the family man,8.5,2019,"Manoj Bajpayee, Samantha Ruth Prabhu",2021,2 Seasons,"Action, Drama, International",Tv Show,Amazon Prime
24,mr. robot,8.5,2015,"Rami Malek, Christian Slater",2019,4 Seasons,TV Shows,Tv Show,Amazon Prime
25,endeavour,8.5,2012,"Shaun Evans, Roger Allam",2020,7 Seasons,"Drama, Historical",Tv Show,Amazon Prime
26,community,8.4,2009,"Joel McHale, Danny Pudi",2015,6 Seasons,TV Shows,Tv Show,Amazon Prime
27,the expanse,8.4,2015,"Steven Strait, Dominique Tipper",2021,5 Seasons,"Action, Science Fiction",Tv Show,Amazon Prime
28,garth marenghi's darkplace,8.4,2004,"Richard Ayoade, Matt Berry",2004,1 Season,Comedy,Tv Show,Amazon Prime
29,gintama,8.4,2005,"Tomokazu Sugita, Daisuke Sakaguchi",2018,131 min,"Action, Fantasy, Science Fiction",Tv Show,Amazon Prime
