,Title,Rating,Year,Director,Date of release,Duration,Genre,Type,Platform
0,the lion king,8.5,1994,Roger Allers,2019,125 min,"Action-Adventure, Coming of Age, Drama",Movie,Disney Plus
1,toy story,8.3,1995,John Lasseter,1995,83 min,"Action-Adventure, Animation, Buddy",Movie,Disney Plus
2,coco,8.3,2017,Lee Unkrich,2017,105 min,"Animation, Family, Fantasy",Movie,Disney Plus
3,toy story 3,8.3,2010,Lee Unkrich,2010,103 min,"Animation, Comedy, Drama",Movie,Disney Plus
4,up,8.2,2009,Pete Docter,2009,96 min,"Action-Adventure, Animation, Buddy",Movie,Disney Plus
5,hamilton,8.2,2020,Thomas Kail,2020,160 min,"Biographical, Historical, Musical",Movie,Disney Plus
6,finding nemo,8.1,2003,Andrew Stanton,2003,103 min,"Action-Adventure, Animation, Comedy",Movie,Disney Plus
7,inside out,8.1,2015,Pete Docter,2015,95 min,"Animation, Coming of Age, Family",Movie,Disney Plus
8,"monsters, inc.",8.1,2001,Pete Docter,2001,93 min,"Animation, Buddy, Comedy",Movie,Disney Plus
9,ratatouille,8.0,2007,Brad Bird,2007,111 min,"Animation, Comedy, Family",Movie,Disney Plus
10,the incredibles,8.0,2004,Brad Bird,2004,116 min,"Action-Adventure, Animation, Family",Movie,Disney Plus
11,pirates of the caribbean: the curse of the black pearl,8.0,2003,Gore Verbinski,2003,144 min,"Action-Adventure, Fantasy",Movie,Disney Plus
12,the sound of music,8.0,1965,Robert Wise,1965,175 min,"Biographical, Family, Historical",Movie,Disney Plus
13,beauty and the beast,8.0,1991,Gary Trousdale,2017,138 min,"Family, Fantasy, Musical",Movie,Disney Plus
0,cosmos: a spacetime odyssey,9.2,2014,"Neil deGrasse Tyson, Christopher Emerson",2013,1 Season,"Action-Adventure, Docuseries, Family",Tv Show,Disney Plus
1,the beatles: get back,8.9,2021,"The Beatles, John Lennon",2021,1 Season,"Docuseries, Historical, Music",Tv Show,Disney Plus
2,the mandalorian,8.7,2019,"Pedro Pascal, Carl Weathers",2019,2 Seasons,"Action-Adventure, Family, Science Fiction",Tv Show,Disney Plus
3,the simpsons,8.7,1989,"Dan Castellaneta, Nancy Cartwright",1989,32 Seasons,"Animation, Comedy",Tv Show,Disney Plus
4,invincible,8.6,2021,"Steven Yeun, J.K. Simmons",2006,105 min,"Biographical, Family, Sports",Tv Show,Disney Plus
