Title,Rating,Year,Director
planet earth ii,9.4,2016,"David Attenborough, Chadden Hunter"
breaking bad,9.4,2008,"Bryan Cranston, Aaron Paul"
planet earth,9.4,2006,"Sigourney Weaver, David Attenborough"
band of brothers,9.4,2001,"Scott Grimes, Damian Lewis"
chernobyl,9.3,2019,"Jessie Buckley, Jared Harris"
the wire,9.3,2002,"Dominic West, Lance Reddick"
blue planet ii,9.2,2017,"David Attenborough, Peter Drost"
avatar: the last airbender,9.2,2005,"Dee Bradley Baker, Zach Tyler Eisen"
cosmos: a spacetime odyssey,9.2,2014,"Neil deGrasse Tyson, Christopher Emerson"
the sopranos,9.2,1999,"James Gandolfini, Lorraine Bracco"
our planet,9.2,2019,David Attenborough
cosmos,9.2,1980,"Carl Sagan, Jaromír Hanzlík"
game of thrones,9.2,2011,"Emilia Clarke, Peter Dinklage"
rick and morty,9.1,2013,"Justin Roiland, Chris Parnell"
the world at war,9.1,1973,"Laurence Olivier, Albert Speer"
fullmetal alchemist: brotherhood,9.1,2009,"Kent Williams, Iemasa Kayumi"
the last dance,9.0,2020,"Michael Jordan, Phil Jackson"
life,9.0,2009,"Oprah Winfrey, David Attenborough"
sherlock,9.0,2010,"Benedict Cumberbatch, Martin Freeman"
the twilight zone,9.0,1959,"Rod Serling, Robert McCord"
the vietnam war,9.0,2017,"Peter Coyote, Huy Duc"
batman: the animated series,9.0,1992,"Kevin Conroy, Loren Lester"
scam 1992: the harshad mehta story,9.0,2020,"Pratik Gandhi, Shreya Dhanwanthary"
arcane,8.9,2021,"Hailee Steinfeld, Kevin Alejandro"
the blue planet,8.9,2001,"David Attenborough, Pierce Brosnan"
firefly,8.9,2002,"Nathan Fillion, Gina Torres"
the office,8.9,2005,"Steve Carell, Jenna Fischer"
attack on titan,8.9,2013,"Josh Grelle, Yûki Kaji"
human planet,8.9,2011,"John Hurt, Roger Munns"
frozen planet,8.9,2011,"David Attenborough, Alec Baldwin"
death note,8.9,2006,"Mamoru Miyano, Brad Swaile"
true detective,8.9,2014,"Vince Vaughn, Colin Farrell"
only fools and horses,8.9,1981,"David Jason, Nicholas Lyndhurst"
the beatles: get back,8.9,2021,"The Beatles, John Lennon"
hunter x hunter,8.9,2011,"Issei Futamata, Megumi Han"
the civil war,8.9,1990,"David McCullough, Sam Waterston"
seinfeld,8.9,1989,"Jerry Seinfeld, Julia Louis-Dreyfus"
persona,8.9,2018,"Haluk Bilginer, Cansu Dere"
